Date,EEM,IMAE.AS,SGLD.SW,VOO
2010-01-04,31.084096908569336,,,
2010-01-05,31.309703826904297,,,
2010-01-06,31.375215530395508,,,
2010-01-07,31.193269729614258,,,
2010-01-08,31.440717697143555,,,
2010-01-11,31.375215530395508,,,
2010-01-12,30.87303352355957,,,
2010-01-13,30.9676456451416,,,
2010-01-14,30.887592315673828,,,
2010-01-15,30.530975341796875,,,
2010-01-19,31.14960289001465,,,
2010-01-20,30.399972915649414,,,
2010-01-21,29.482955932617188,,,
2010-01-22,28.82792854309082,,,
2010-01-25,29.03899383544922,,,
2010-01-26,28.434926986694336,,,
2010-01-27,28.36214828491211,,,
2010-01-28,28.1656436920166,,,
2010-01-29,27.859968185424805,,,
2010-02-01,28.609596252441406,,,
2010-02-02,28.842493057250977,,,
2010-02-03,28.675098419189453,,,
2010-02-04,27.379629135131836,,,
2010-02-05,27.073955535888672,,,
2010-02-08,26.804664611816406,,,
2010-02-09,27.678009033203125,,,
2010-02-10,27.60523796081543,,,
2010-02-11,28.333036422729492,,,
2010-02-12,27.976408004760742,,,
2010-02-16,28.696928024291992,,,
2010-02-17,28.79882049560547,,,
2010-02-18,28.90797996520996,,,
2010-02-19,28.660545349121094,,,
2010-02-22,28.696928024291992,,,
2010-02-23,28.034637451171875,,,
2010-02-24,28.303924560546875,,,
2010-02-25,28.071025848388672,,,
2010-02-26,28.354862213134766,,,
2010-03-01,28.835201263427734,,,
2010-03-02,29.162715911865234,,,
2010-03-03,29.199111938476562,,,
2010-03-04,29.046266555786133,,,
2010-03-05,29.803176879882812,,,
2010-03-08,29.82500648498535,,,
2010-03-09,29.992408752441406,,,
2010-03-10,30.20345687866211,,,
2010-03-11,30.21074676513672,,,
2010-03-12,30.108850479125977,,,
2010-03-15,29.890518188476562,,,
2010-03-16,30.2762508392334,,,
2010-03-17,30.603750228881836,,,
2010-03-18,30.37086296081543,,,
2010-03-19,29.977842330932617,,,
2010-03-22,30.087017059326172,,,
2010-03-23,30.29806900024414,,,
2010-03-24,29.84684181213379,,,
2010-03-25,29.766788482666016,,,
2010-03-26,29.91234588623047,,,
2010-03-29,30.450923919677734,,,
2010-03-30,30.567365646362305,,,
2010-03-31,30.654705047607422,,,
2010-04-01,31.45528221130371,,,
2010-04-05,31.739103317260742,,,
2010-04-06,31.833730697631836,,,
2010-04-07,31.55716896057129,,,
2010-04-08,31.666337966918945,,,
2010-04-09,31.862838745117188,,,
2010-04-12,31.608112335205078,,,
2010-04-13,31.542606353759766,,,
2010-04-14,32.00838851928711,,,
2010-04-15,31.833730697631836,,,
2010-04-16,30.902149200439453,,,
2010-04-19,30.778423309326172,,,
2010-04-20,31.142322540283203,,,
2010-04-21,31.04042625427246,,,
2010-04-22,31.171432495117188,,,
2010-04-23,31.338825225830078,,,
2010-04-26,31.338825225830078,,,
2010-04-27,30.218021392822266,,,
2010-04-28,30.472745895385742,,,
2010-04-29,30.974929809570312,,,
2010-04-30,30.603750228881836,,,
2010-05-03,30.771148681640625,,,
2010-05-04,29.359216690063477,,,
2010-05-05,28.82792854309082,,,
2010-05-06,27.64890480041504,,,
2010-05-07,27.794471740722656,,,
2010-05-10,29.7958927154541,,,
2010-05-11,29.25732421875,,,
2010-05-12,29.621231079101562,,,
2010-05-13,29.344676971435547,,,
2010-05-14,28.740604400634766,,,
2010-05-17,28.56592559814453,,,
2010-05-18,27.96912956237793,,,
2010-05-19,27.69985008239746,,,
2010-05-20,26.324317932128906,,,
2010-05-21,27.175838470458984,,,
2010-05-24,26.89200210571289,,,
2010-05-25,26.60088539123535,,,
2010-05-26,26.586320877075195,,,
2010-05-27,28.19475746154785,,,
2010-05-28,27.728961944580078,,,
2010-06-01,27.219507217407227,,,
2010-06-02,28.172922134399414,,,
2010-06-03,28.071025848388672,,,
2010-06-04,27.073955535888672,,,
2010-06-07,26.65183448791504,,,
2010-06-08,27.2631778717041,,,
2010-06-09,27.117612838745117,,,
2010-06-10,28.063751220703125,,,
2010-06-11,28.20930290222168,,,
2010-06-14,28.216594696044922,,,
2010-06-15,29.06810188293457,,,
2010-06-16,29.06810188293457,,,
2010-06-17,28.922544479370117,,,
2010-06-18,29.053552627563477,,,
2010-06-21,29.55572509765625,,,
2010-06-22,28.98804473876953,,,
2010-06-23,29.062774658203125,,,
2010-06-24,28.549949645996094,,,
2010-06-25,28.886945724487305,,,
2010-06-28,28.68914794921875,,,
2010-06-29,27.524290084838867,,,
2010-06-30,27.341136932373047,,,
2010-07-01,27.5389404296875,,,
2010-07-02,27.65616226196289,,,
2010-07-06,28.168989181518555,,,
2010-07-07,28.791709899902344,,,
2010-07-08,28.930912017822266,,,
2010-07-09,29.282560348510742,,,
2010-07-12,29.04812240600586,,,
2010-07-13,29.3851261138916,,,
2010-07-14,29.32651710510254,,,
2010-07-15,29.187320709228516,,,
2010-07-16,28.315509796142578,,,
2010-07-19,28.68914794921875,,,
2010-07-20,29.36315155029297,,,
2010-07-21,29.062774658203125,,,
2010-07-22,29.941905975341797,,,
2010-07-23,30.147043228149414,,,
2010-07-26,30.3521671295166,,,
2010-07-27,30.30088233947754,,,
2010-07-28,30.13239097595215,,,
2010-07-29,30.183666229248047,,,
2010-07-30,30.330202102661133,,,
2010-08-02,31.114097595214844,,,
2010-08-03,30.96756362915039,,,
2010-08-04,31.01152801513672,,,
2010-08-05,30.872329711914062,,,
2010-08-06,30.828372955322266,,,
2010-08-09,30.98954963684082,,,
2010-08-10,30.564634323120117,,,
2010-08-11,29.59025764465332,,,
2010-08-12,29.64153289794922,,,
